ConstituentID,ConstituentTypeID,Active,AlphaSort,LastName,FirstName,NameTitle,Institution,LastSoundEx,FirstSoundEx,InstitutionSoundEx,DisplayName,BeginDate,EndDate,DisplayDate,Biography,Code,Nationality,School,LoginID,EnteredDate,SysTimeStamp,PublicAccessOld,Remarks,Position,MiddleName,Suffix,CultureGroup,N_DisplayName,N_DisplayDate,salutation,Approved,PublicAccess,IsPrivate,DefaultNameID,SystemFlag,InternalStatus,DefaultDisplayBioID,BeginDateISO,EndDateISO
1,1,0,Willem III Koning,Oranje-Nassau,Willem Alexander Paul Frederik Lodewijk,Koning,NULL,NULL,NULL,NULL,Koning Willem III,1817,1890,1817 - 1890,"Koning der Nederlanden, Stichter en Beschermheer van Bronbeek.
Uit de Staats-couranrt 1859/09/29: ""Zijne Majesteit Willem Alexander Paul Frederik Lodewijk, koning der Nederlanden, Prins van Oranje-Nassau, Groot-Hertog van Luxemburg, hertog van limburg en zo voorts en zo voorts""
Uit Wikipedia (2007/03/30):
""Willem Alexander Paul Frederik Lodewijk (Brussel, 17 februari 1817 – Het Loo, 23 november 1890), Prins van Oranje-Nassau, was van 1849 tot 1890 Koning der Nederlanden en Groothertog van Luxemburg onder de naam Willem III.

Hij werd geboren in Brussel als zoon van koning Willem II en Anna Paulowna, de zuster van de Russische tsaar Alexander I.
Hij trad op 18 juni 1839 in het huwelijk met zijn nicht Sophie van Württemberg, dochter van koning Willem I van Württemberg en Catharina Paulowna (zus van Anna Paulowna, moeder van Willem III). Het werd een slecht huwelijk, mede door Willems nauwelijks verholen buitenechtelijke affaires en seksuele uitspattingen. De weinig tolerante en zeer ambitieuze houding van zijn echtgenote deed de rest. In 1851 is er door zijn schoonfamilie een poging gedaan het huwelijk te ontbinden. Hoewel dat niet doorging leefde het paar sindsdien gescheiden van tafel en bed. Uit het huwelijk kwamen drie zoons voort:

Willem Nicolaas Alexander Frederik Karel Hendrik (1840-1879), was vanaf 1849 prins van Oranje 
Willem Frederik Maurits Alexander Hendrik Karel (1843-1850) 
Willem Alexander Karel Hendrik Frederik (1851-1884), prins van Oranje na de dood van zijn broer tot zijn eigen dood 

Tweede huwelijk
Na het overlijden van Sophie in 1877 trouwde de 61-jarige Willem op 7 januari 1879 met de twintigjarige prinses Emma van Waldeck-Pyrmont, dochter van George Victor van Waldeck-Pyrmont en Helena van Nassau-Weilburg. Uit het huwelijk werd op 31 augustus 1880 een kind geboren: Wilhelmina.

Het vaderschap van Willem III staat wel eens ter discussie, omdat hij op oudere leeftijd wegens syfilis geen kinderen meer zou kunnen verwekken. Als natuurlijke vader wordt dan genoemd: Jonkheer S.M.S. de Ranitz (1846-1916), particulier secretaris van koningin Emma.

Op zich zou dit voor de erfopvolging geen probleem zijn, omdat Emma via haar moeder een afstammeling was van de dochter van stadhouder Willem IV, Carolina van Oranje-Nassau, en diens afstammelingen waren nog in de grondwet van 1917 gerechtigd tot de Nederlandse troon.

Artikel 15: 
Bij ontstentenis van een opvolger, krachtens een der vier voorgaande 
artikelen tot de Kroon geregtigd, gaat deze over op de wettige mannelijke 
uit mannen gekomen nakomelingen van wijlen Prinses CAROLINA VAN ORANJE, 
zuster van wijlen Prins WILLEM DEN VIJFDE en gemalin van wijlen den 
Prins van Nassau-Weilburg, op gelijke wijze als in artikel 11 ten opzigte 
van de nakomelingen van wijlen Koning WILLEM FREDERIK, Prins van Oranje-Nassau, is bepaald. 

Constitutionele rol
Willem III had grote moeite met de beperking van de koninklijke macht zoals deze onder het bewind van zijn vader in 1848 met de grondwetswijziging van Thorbecke tot stand was gekomen. Een koning behoorde naar zijn mening 'vast als een rots' zelf te regeren. Uit protest tegen de grondwetswijziging vertrok de troonopvolger naar Engeland, waar hij verbleef toen zijn vader in 1849 plotseling overleed. De eerste twintig jaar van zijn regering kenmerken zich door weerstand tegen de constitutionele monarchie, waarbij de koning zich overigens telkens conformeerde. Een voorbeeld van de eigenzinnige constitutionele rol die de koning aanvankelijk speelde is de commotie rond de Aprilbeweging in 1853. Het zittende kabinet had een karakterloos, nietszeggend antwoord voorgesteld. De koning hield te Amsterdam echter een gloedvolle rede die de hoogopgelopen gemoederen overigens ook onmiddellijk deed bedaren.


Luxemburgse kwestie
In 1866 viel de Duitse Bond uiteen en kwam de Noord-Duitse Bond tot stand, waarvan Luxemburg en Limburg geen deel meer zouden uitmaken. Willem was toen bereid het groothertogdom aan keizer Napoleon III van Frankrijk te verkopen met stilzwijgende instemming van de Pruisische premier Bismarck. Toen deze transactie echter in de openbaarheid kwam, verklaarde Bismarck dat verkoop als reden tot oorlog beschouwd zou worden. Op de Conferentie van Londen van 1867 ter regeling van de Luxemburgse kwestie werd overeengekomen dat Luxemburg patrimoniaal eigendom van het huis (Oranje-)Nassau zou blijven, echter wel als politiek neutraal gebied. De Pruisische troepen werden dan ook teruggetrokken uit de vesting en de burcht van Luxemburg werd afgebroken. In 1868 kreeg Luxemburg ook nog een nieuwe grondwet.


Laatste levensjaren
In 1887 werd hij ernstig ziek en hij stierf in 1890, waarna zijn minderjarige dochter Wilhelmina de troon besteeg met Emma als regentes. Het Groothertogdom Luxemburg ging conform de Nassause ""Erbverein"" naar de andere linie van het Huis Nassau omdat volgens huisrecht alleen mannelijke afstammelingen erfgerechtigd waren voor Nassaugoederen (zie ook bij Salische Wet).

Willem III was in zijn latere jaren niet geliefd en werd soms Koning Gorilla genoemd vanwege zijn bij gelegenheden boertige uitvallen. Toch hadden deze uitvallen ook positieve gevolgen. Het volk respecteerde hem daarom meer, aangezien hij zich enigszins 'volks' gedroeg.""


",NULL,Nederlands,NULL,SantenC/KTOMB_W016,1998-07-16 10:27:08.860,0x000000000088C653,0,Beschermheer van Bronbeek,NULL,van,NULL,NULL,NULL,NULL,NULL,0,0,0,13027,0,0,1,"1817      ","1890      "
2,1,0,Vongers A.C. Dhr.,Vongers,Arnold Christiaan,Dhr.,NULL,NULL,NULL,NULL,Dhr. A.C. Vongers,1801,1869,1801 - 1869,"Arnold Christiaan Vongers, wijnhandelaar, geboren 1801 te Den Haag, overleden 30 mei 1869 te Arnhem (akte 347). Gehuwd met Jacoba van den Biesen. Zoon van Peter Matheus Vongers, R.K., winkelier te Dulcken, en Maria van Manen.
Vongers was compagnon van La Chapelle, die sedert 1819 de kelders van het Sint Petersgasthuis aan de Rijnstraat in gebruik had als wijnopslagplaats. Vongers kocht het Sint Petersgasthuis in 1849 en liet het restaureren in (neo-)gotische stijl o.a. met bakstenen afkomstig van het in 1835 afgebroken kasteel Enghuizen in Hummelo. Enghuizen was in 1835 bezit van Baron van Heeckeren van Enghuizen, die heeft deelgenomen aan de oorlog tegen Napoleon en diverse boerderijen op zijn landgoed heeft vernoemd naar plaatsen waar hij aan veldslagen heeft deelgenomen . In 1835 werd het oude kasteel afgebroken en een neoclassicistische huis gebouwd, terwijl het landgoed opnieuw werd ingericht als ferme ornee naar ontwerp van Van Lunteren. In 1945 brandde Enghuizen af. In 1950 zijn zes tuinvazen van Enghuizen verkocht aan het Rijksmuseum.
",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-07-16 10:34:58.897,0x000000000088C654,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,12373,0,0,2,"1801      ","1869      "
16,1,0,Roest W.A. Generaal-majoor,Roest,W.A.,Generaal-majoor,NULL,NULL,NULL,NULL,Generaal-majoor W.A. Roest,1796,1875,1796 - 1875,"Generaal-majoor; Adjudant van Koning Willem III

Roest, W.A.
Generaal-majoor
1796-1875
Eretekenen:
-	RMWO 4 op 22 november 1828
-	Ridder der Orde van de Nederlandsche Leeuw
-	Medaille voor de Oorlog op Java
- 	(20): gouden gesp voor eervolle langdurige Nederlandse effectieve                   diensttijd als officier met het cijfer 20
-	EK 2: Ridder van de Ster der Orde van de Eikenkroon op 20 april 1857
-	Ereteken 1813-1815

Benoemd tot buitengewoon adjudant van Z.M. op 22 april 1849 (uit: Bijlage X behoorende bij den Militaire Spectator).
Chef staf tijdens de Java oorlog
",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-07-23 16:28:54.410,0x00000000013F2CC0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,9976,0,0,4079,1796,1875
17,1,0,"Cochius, F.D., Luitenant-generaal",Cochius,Frans David,Luitenant-generaal,NULL,NULL,NULL,NULL,Luitenant-generaal F.D. Cochius,1787,1876,1787 - 1876,"Luitenant-generaal; Commandeur Militaire Willemsorde (1838).
Geboren te Valburg, nabij Arnhem op 17 december 1780. In oktober 1815 vertrok hij met de eerste bezettingstroepen als kapitein der Genie naar Java en keerde na tot den rang van Luitenant-generaal te zijn opgeklommen, in 1848 naar het vaderland terug, om daar zijne nog overige levensjaren in rust door te brengen. Hij had bij Palembang en in den oorlog met Dipo Negoro zeer gewaardeerde diensten bewezen, en besloot zijne dappere wapenfeiten met de schitterende verovering van Bondjol op Sumatra´s Westkust in 1837. Die sterkte draagt thans ter zijner eere, als een welverdiend huldeblijk, den naam van Fort Cochius.

Adjudant in buitengewone dienst van Z.K.H. Willem III 	1841-1876
Legercommandant Oost-Indisch Leger 6 maart 1835 – 1 januari 1848

MWO 3e klasse, KB 1822-05-07 No.29, Palembang, 20 en 24 juni 1821 (luitenant-kolonel genie)
Eervol vermeld, KB 1828-11-22 No.28, Java, oorlog op Java 1825 tot 19 juni 1828 (kolonel genie)
MWO 2e klasse, KB 1838-05-08 No.72, Sumatra, oorlog op Sumatra’s Westkust en operatie Bonjol (generaal-majoor)

1808	2de luitenant
1809	1ste luitenant 
1811	Kapitein der Genie
1817	Majoor
1821	Luitenant kolonel
1825	Kolonel
1839	Generaal-majoor 
1843	Luitenant-generaal 

Frans David Cochius

Frans David Cochius, commandant van het Koninklijk Nederlandsch-Indisch Leger
Geboren 	3 december 1787 Valburg
Overleden 	1 mei 1876 Rijswijk
Onderdeel 	genie
Dienstjaren 	1835-1847
Rang 	commandant van het Koninklijk Nederlandsch-Indisch Leger
Slagen/oorlogen 	onder meer Leipzig, Waterloo, Quatre-Bras
Onderscheidingen 	onder meer commandeur van de Militaire Willems-Orde, Grootkruis in de Orde van de Eikenkroon

Frans David Cochius (Valburg, 3 december 1787 \u2013 Rijswijk, 1 mei 1876) was een Nederlands generaal, commandant van het Nederlands-Indisch leger.
Inhoud

    1 Loopbaan
        1.1 Napoleontische tijd
        1.2 Gelderse Munt
        1.3 Java-oorlog
        1.4 Padrie-oorlog
    2 Decoraties

Loopbaan
Napoleontische tijd

Cochius trad op zeventienjarige leeftijd in militaire dienst als cadet der genie aan de militaire school te Zutphen. Hij werd in 1808 tot luitenant surnumerair der genie en artillerie benoemd. Gedurende de inlijving van de Nederlanden bij Frankrijk, in 1810, werd hij benoemd tot eerste luitenant bij de staf der genie, in 1811 benoemd tot tweede kapitein der sappeurs, in 1812 tot eerste kapitein en nog hetzelfde jaar tot kapitein van de tweede klasse bij de staf der genie bevorderd. In 1812 ontving hij de last zich naar het grote Franse leger te begeven maar hij bereikte het niet. Hij werd ingedeeld bij de eerste divisie van het observatiecorps en nam deel aan de gevechten bij Lützen, Bautzen, Möckern, Löwenberg en Leipzig (1813), om daarna met de overblijfselen van het vijfde legerkorps op Koblenz en Keulen terug te trekken. In 1814 bevond Cochius zich te Hüningen, in de Elzas, dat door de geallieerden belegerd werd, maar nauwelijks was het bericht van de val van Napoleon bevestigd of Cochius nam zijn ontslag uit de Franse dienst, om naar het vaderland terug te keren, waar hij in 1814 direct als kapitein-ingenieur tweede klasse geplaatst werd, om kort daarna bij het Indische leger ingedeeld te worden. Daarvoor nam hij nog deel, met de Indische Brigade, aan de gevechten te Quatre-Bras en Waterloo en was aanwezig bij de insluiting van Quesnoy en Valencijn.
Gelderse Munt

Eind 1814, kort na de Frans-Bataafse tijd, bracht kapitein Cochius van het Ministerie van Oorlog aan Harderwijk een bezoek. Zijn opdracht was het gebouw van de voormalige Gelderse Munt aan de Smeepoortstraat te inspecteren op geschiktheid als koloniaal depot. In Den Haag bestond het voornemen om het Koloniaal Werfdepot in Harderwijk te vestigen en hiervoor zocht men een geschikt onderkomen. Kapitein Cochius gaf een gunstig oordeel. Met enige aanpassingen was De Gelderse Munt in 1815 gereed voor de huisvesting van zo\u2019n 800 militairen.
Java-oorlog

Al kort na de aankomst van Cochius in Nederlands Indië werd hij uit de vredesdienst als eerstaangewezen ingenieur te Weltevreden gehaald en werd hem een rol toegewezen bij het dempen van de opstand in de residentie Krawang. In 1817 werd hij tot majoor en in 1821 tot luitenant-kolonel bevorderd en in deze rang maakte hij, als commandant van de genie en pioniers, de expeditie mee naar Palembang, tegen sultan Machmoed Badar-Oedin, waarbij hij veel succes oogstte en hij, als beloning voor zijn heldhaftige gedrag, werd hij benoemd tot officier in de Militaire Willems-Orde op 7 mei 1822.[1]. Na zijn benoeming tot tweede directeur der fortificaties en civiele gebouwen (1822) deed Cochius weer gewone vredesdienst tot de bloedige vijfjarige oorlog tegen Diepo Negoro uitbrak, waarin hij een zeer belangrijke rol speelde, en zich bijzonder onderscheidde bij het ontzet van Djokja, de inname van de Kraton te Pleret en de strijd te Karta-Soera. Hij was inmiddels (1825) tot kolonel benoemd, en na sinds 1827 met de dienst der chef der derde afdeling, Militair Departement, belast te zijn geweest, in 1830 tot commandant van het leger te velde in Midden-Java (Salatiga) aangesteld. Cochius was in november 1829 op verzoek gepensioneerd, maar op aandrang van generaal de Kock en gouverneur-generaal van den Bosch verklaarde hij zich bereid in dienst te blijven en werd in maart 1830 in activiteit hersteld. Het was onder leiding van Cochius dat de Keizer van Soerakarta Pakoe Boewana VI werd opgespoord en gevangengenomen, en de opstand in de residentie Bengalen werd gedempt.
Padrie-oorlog
Verovering van Bondjol.

Cochius werd in 1832 bevorderd tot generaal-majoor titulair (pas 7 jaar later ontving hij die rang effectief) en verkreeg het commando over het Nederlands-Indische leger, welk commando hij tot 1847 waarnam. In deze functie verkreeg hij, na tot adjudant in buitengewone dienst van Z.M. de Koning benoemd te zijn (1839), de rang van luitenant-generaal, eerst titulair (1843), daarna effectief (1846). Het was in de betrekking van commandant van het Indische leger, dat Cochius tot bevelhebber en gouvernements-commissaris met uitgebreide macht naar het oorlogstoneel op Sumatra werd gezonden; aan hem was de inname van Bondjol te danken, waarvoor de Nederlandse troepen in het jaar daarvoor, 1836, het hoofd hadden gestoten. Voor de belangrijke diensten hier bewezen werd Cochius benoemd tot commandeur in de Militaire Willems-Orde. Cochius verkreeg in 1847, op verzoek, pensioen en werd door de Koning benoemd tot Grootkruis in de Orde van de Eikenkroon. Als legercommandant had Cochius, door zijn goede zorgen en welberaamde beschikkingen, veel bijgedragen - vooral wat Sumatra en Bali betreft - zeker veel bijgedragen tot het beëindigen van de daar gevoerde oorlogen. Geoefendheid en krijgstucht werden, gedurende zijn bevelhebberschap van het leger, zoveel verbeterd als mogelijk was onder een onvoldoende organisatie en samengesteld uit zoveel heterogene bestanddelen. Gedurende het tijdvak van 44 jaar, waarvan 32 in Indische dienst, was het geluk hem ten deel gevallen, dat hij, noch in de gevechten die hij als ondergeschikte bijwoonde, noch ook in die, waarvan hem als opperbevelhebber het beleid was opgedragen, ooit enig echec leed. Cochius overleed op 1 mei 1876 te Rijswijk.
Decoraties

Cochius was adjudant in buitengewonen dienst van de Koning, commandeur van de Militaire Willems-Orde[2], Grootkruis in de Orde van de Eikenkroon, ridder in de Orde van de Nederlandsche Leeuw en versierd met de Medaille voor de oorlog op Java van 1825-1830. Cochius was niet het enige lid van het geslacht Cochius die in de Militaire Willems-Orde werd opgenomen, ook A. Cochius, eerste luitenant en officier van Gezondheid eerste klasse en J. C. A. Cochius, eerste luitenant, waren ridder in de Militaire Willems-Orde. Voor de deelnemers aan de expeditie naar Bonjol stelde de Koning op 8 mei 1838 een decoratie in, de zogenaamde Ruit van Bonjol, die alleen door drieëntwintig uitmuntende dappere inlandse militairen werd gedragen. Naar Cochius zelf werd een ornament van een officiersuniform, een Cochianus genoemde chacot, in de vorm van een neerhangende pluim van zwarte hanenveren, en een fort in Gombong (op midden-Java) genoemd.
Voorganger:
H.J.J.L. de Stuers 	Commandant van het KNIL
1835 - 1847 	Opvolger:
C. van der Wijck
Bronnen, noten en/of referenties

    1876. Frans David Cochius. Militaire Spectator. Bladzijde 441-444.
    1893. P.H.K. van Schendel. De Militaire Willemsorde.
    1904. A.J.A. Quintus Bosz. De geschiedenis van de Pupillenschool op het fort Generaal Cochius te Gombang (Midden-Java) In: Mars et Historia (23 april 1904).
    1911. P.C. Molhuysen en P.J. Blok. Nieuw Nederlands Biografisch Woordenboek. Deel 1. Bladzijde 618-619.
    1940. G.C.E. Köffler. De Militaire Willemsorde 1815-1940. Algemene Landsdrukkerij. Den Haag.

(nl) Militaire Willems-Orde: Cochius, F.D., niveau 3. Gezien op 17 maart 2016.

    (nl) Militaire Willems-Orde: Cochius, F.D., niveau 2. Gezien op 17 maart 2016.

Bron: https://nl.wikipedia.org/wiki/Frans_David_Cochius. Bezocht: juni 2018",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-07-27 11:59:45.550,0x000000000146C392,0,NULL,legercommandant,NULL,RMWO-3,NULL,NULL,NULL,NULL,0,0,0,2895,0,0,5,1787-12-03,1876-05-01
27,1,0,Geen Joseph Jacobus baron van Luitenant-generaal,Geen,Joseph Jacobus,Luitenant-generaal,NULL,NULL,NULL,NULL,Luitenant-generaal Joseph Jacobus baron van Geen,1773,1846,1773 - 1846,"Luitenant-generaal; Generaal-majoor
Adjudant in bijzondere dienst van Z.M. Koning Willem II
Commandant KNIL 1825-1828",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-08-03 14:30:45.310,0x000000000088C659,0,NULL,NULL,baron van,NULL,NULL,NULL,NULL,NULL,0,0,0,4292,0,0,7,"1773      ","1846      "
33,1,0,Brauw Cornelis Albert de RMWO-3 Generaal-majoor,Brauw,Cornelis Albert,Generaal-majoor,NULL,NULL,NULL,NULL,Generaal-majoor C.A. de Brauw RMWO-3,1809,1862,1809 - 1862,"Brauw, Cornelis Albert de.
Geboren te Montfoort 19 december 1809. Overleden te Padang 21 februari 1862. Zoon van Jacob de Brauw, die majoor bij het Indische Leger geweest is, en Maria Magdalena Gobius. Hij vertrok als knaap met zijne ouders naar Indië, werd opgeleid aan de Militaire School te Semarang (1822-1826), benoemd tot tweede luitenant der infanterie 1826. Verdere bevorderingen: eerste luitenant 1834, kapitein 1836, majoor 1840, luitenant kolonel 1846, kolonel (bij keuze) 1852, generaal-majoor 1857. Gehuwd (1840) met Jonkvrouwe Jacoba Elisabeth Maria  van Heemskerk van Beest.
Hij nam deel aan de Java-oorlog (1825-1830) en aan de eerste Bali-expeditie (1846). Bij de derde Bali-expeditie (1849) was het chef van den staf; aan zijn initiatief was de bekende omtrekking van Djagaraga te danken. In 1850 dempte hij met zijn troepen een opsrtand in Bantam. Van 1851-1855 was hij resident en militair commandant van Palembang, van 1855-1857 civiel en militair gouverneur van Celebes; van 1857-1859 met verlof in Nederland. In 1860 was hij commandant der tweede Militaire Afdeling op Java, waarhij het bekende oproer der vreemde Europese soldaten ( te WillemI en Semarang) op krachtige en beleidvolle wijze bedwong. Hij werd daarna, in 1861 benoemd tot civiel en militair gouverneur van Sumatra's Westkust.
Zijn dood werd zeer betreurd; zowel in burgerlijke als in militaire zaken had hij het algemeen vertrouwen. Hij was een der mannen van dien tijd die zich, als de gelegenheid zich voordeed, steeds onderscheidden door degelijke militaire kennis, algemene ontwikkeling, helder doorzicht en onbegrensd plichtbesef.

Bron: www.dbnl.org. Bezocht: juli 2017

MWO 3 Bali 1849, Adjudant in bijzondere dienst van de Koning, Groot Officier in de  Eikenkroon
Kolonel, C.A. de Brauw verwierf als Majoor bij de 1e Expeditie tegen Bali in 1846 de Militaire Willemsorde der 4e klasse en bij de 3e Expeditie tegen Bali in 1849 de Militaire Willemsorde der 3e klasse.",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-08-03 15:55:41.830,0x00000000013A6F8A,0,NULL,NULL,de,RMWO-3,NULL,NULL,NULL,NULL,0,0,0,2371,0,0,3962,1809-12-19,1862-02-21
35,1,0,"Bosstraeten B.J. van RMWO-4, ES Kapitein",Bosstraeten,Berend Ignate,Kapitein,NULL,NULL,NULL,NULL,"Kapitein B.J. van Bosstraeten RMWO-4, ES",1825,1887,1825 - 1887,"Gepensioneerd Kapitein der Infanterie van het Oost-Indisch Leger, Ridder der Militaire Willemsorde 4e klasse (1849), EBK met gesp Bali 1849, Boni 1859, Legion d'Honneur. Eresabel",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-08-03 16:11:10.547,0x000000000088C65A,0,NULL,NULL,van,"RMWO-4, ES",NULL,NULL,NULL,NULL,0,0,0,2253,0,0,8,"1825      ","1887      "
41,1,0,Riesen J.E.A. van Huismeester,Riesen,J.E.A.,Huismeester,Bronbeek,NULL,NULL,NULL,Huismeester J.E.A. van Riesen,1848,1886,1848 - 1886,"Huismeester; Heeft volgens Thieme in de Atjeh-oorlog gevochten; dit moet of een andere oorlog zijn of de datum van de schenking (april 1866) van een met deze persoon verbonden object (een sabel) klopt niet.
Gep. A.o.o. d.d. officier Huismeester Bronbeek (1848-1886?)
Drager van: Ereteken voor Belangrijke Krijgsverrichtingen met gesp Atjeh 1873-1874 , Atjeh- of Kratonmedaille; TD in brons",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-08-04 10:56:30.793,0x000000000088C65B,0,NULL,NULL,van,NULL,NULL,NULL,NULL,NULL,0,0,0,9818,0,0,9,"1848      ","1886      "
43,1,0,Boer Hijbo Everdes jonkheer de Kolonel,Boer,Hijbo Everdes,Kolonel,NULL,NULL,NULL,NULL,Kolonel Hijbo Everdes jonkheer de Boer,1776,1838,1776-1838,"Kolonel, adjudant van Generaal Chasse tijdens het beleg van de citadel van Antwerpen.
Heeft bij de Slag van Almonacid in Spanje onder het commando van generaal Chassé tegen de Spanjaarden gevochten en hierbij 7 vijanden gedood.",NULL,NULL,NULL,SantenC/KTOMB_W016,1998-08-04 11:15:34.280,0x000000000088C65C,0,NULL,NULL,jonkheer de,NULL,NULL,NULL,NULL,NULL,0,0,0,1988,0,0,10,"1776      ","1838      "
45,1,0,Creijghton H.H. Luitenant-kolonel,Creijghton,H.H.,Luitenant-kolonel,NULL,NULL,NULL,NULL,Luitenant-kolonel H.H. Creijghton,1805,1871,1805 - 1871,Luitenant-kolonel; Vanwege zijn prestaties in 1830-1831 met de Militaire Willemsorde onderscheiden.,NULL,NULL,NULL,SantenC/KTOMB_W016,1998-08-04 11:32:46.743,0x000000000088C65D,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,3037,0,0,11,"1805      ","1871      "
